Size, Seq, Par, Libc
100, 0.000009, 0.027331, 0.000013
100, 0.000009, 0.027736, 0.000012
100, 0.000010, 0.021572, 0.000012
100, 0.000010, 0.024764, 0.000012
100, 0.000011, 0.025914, 0.000012
400, 0.000044, 0.066830, 0.000057
400, 0.000045, 0.052814, 0.000053
400, 0.000046, 0.048399, 0.000051
400, 0.000047, 0.052446, 0.000058
400, 0.000048, 0.069666, 0.000058
700, 0.000077, 0.083833, 0.000099
700, 0.000077, 0.088138, 0.000085
700, 0.000077, 0.118207, 0.000099
700, 0.000078, 0.103985, 0.000088
700, 0.000092, 0.067616, 0.000099
1000, 0.000115, 0.093001, 0.000141
1000, 0.000117, 0.117330, 0.000122
1000, 0.000118, 0.122326, 0.000122
1000, 0.000125, 0.088084, 0.000123
1000, 0.000125, 0.095058, 0.000139
1300, 0.000158, 0.114424, 0.000164
1300, 0.000163, 0.092793, 0.000182
1300, 0.000163, 0.119744, 0.000184
1300, 0.000169, 0.090386, 0.000179
1300, 0.000181, 0.092135, 0.000243
1600, 0.000196, 0.081552, 0.000228
1600, 0.000196, 0.081898, 0.000261
1600, 0.000196, 0.093957, 0.000227
1600, 0.000216, 0.052307, 0.000226
1600, 0.000874, 0.095714, 0.000221
1900, 0.000233, 0.138830, 0.000268
1900, 0.000234, 0.108899, 0.000380
1900, 0.000237, 0.105897, 0.000247
1900, 0.000244, 0.118371, 0.000274
1900, 0.000270, 0.121604, 0.000274
2200, 0.000282, 0.129320, 0.000306
2200, 0.000289, 0.095375, 0.000320
2200, 0.000318, 0.129139, 0.000319
2200, 0.000325, 0.117445, 0.000318
2200, 0.000362, 0.184722, 0.000301
2500, 0.000318, 0.062700, 0.000309
2500, 0.000328, 0.143353, 0.000389
2500, 0.000333, 0.097718, 0.000337
2500, 0.000335, 0.114808, 0.000366
2500, 0.000435, 0.114663, 0.000355
