Size, Seq, Par, Libc
1000000, 0.216544, 0.282084, 0.212786
1000000, 0.216794, 0.321421, 0.223548
1000000, 0.218899, 0.351708, 0.214172
1000000, 0.219648, 0.303661, 0.213518
1000000, 0.243022, 0.303606, 0.228651
1500000, 0.327146, 0.400002, 0.329749
1500000, 0.333297, 0.411673, 0.368051
1500000, 0.333875, 0.358802, 0.342843
1500000, 0.336607, 0.337876, 0.335591
1500000, 0.346925, 0.438398, 0.342087
2000000, 0.454196, 0.450633, 0.452579
2000000, 0.458564, 0.455795, 0.449620
2000000, 0.464833, 0.428850, 0.454869
2000000, 0.467089, 0.467957, 0.445601
2000000, 0.470022, 0.423459, 0.469229
2500000, 0.556462, 0.456870, 0.571348
2500000, 0.564556, 0.499387, 0.587280
2500000, 0.566636, 0.473011, 0.574290
2500000, 0.578375, 0.558256, 0.587839
2500000, 0.580567, 0.485800, 0.574037
3000000, 0.681728, 0.584136, 0.702158
3000000, 0.683205, 0.584072, 0.713974
3000000, 0.699500, 0.518092, 0.692007
3000000, 0.707838, 0.531061, 0.703167
3000000, 0.727070, 0.643338, 0.722795
3500000, 0.801407, 0.622659, 0.818973
3500000, 0.804183, 0.640704, 0.836847
3500000, 0.815407, 0.572963, 0.834523
3500000, 0.835294, 0.583876, 0.837259
3500000, 0.862594, 0.614240, 0.835717
