Size, Seq, Par, Libc
100, 0.000036, 0.011501, 0.000038
100, 0.000034, 0.007777, 0.000035
1900, 0.000906, 0.050512, 0.000934
2500, 0.001191, 0.058149, 0.001271
1300, 0.000626, 0.031525, 0.000635
400, 0.000150, 0.024714, 0.000101
1300, 0.000314, 0.015186, 0.000193
1000, 0.000124, 0.012607, 0.000138
1900, 0.000265, 0.013445, 0.000277
1600, 0.000393, 0.013062, 0.000235
1000, 0.000125, 0.015593, 0.000138
2500, 0.000344, 0.015905, 0.000369
100, 0.000009, 0.002208, 0.000010
2500, 0.000345, 0.017027, 0.000373
100, 0.000009, 0.001826, 0.000011
1600, 0.000212, 0.012077, 0.000230
400, 0.000044, 0.007556, 0.000057
1600, 0.000311, 0.011471, 0.000231
400, 0.000044, 0.008069, 0.000058
1600, 0.000211, 0.012859, 0.000229
1300, 0.000173, 0.009748, 0.000189
100, 0.000009, 0.003117, 0.000011
2200, 0.000302, 0.013143, 0.000326
400, 0.000044, 0.007044, 0.000056
1000, 0.000124, 0.015298, 0.000138
400, 0.000044, 0.007645, 0.000059
1000, 0.000123, 0.014496, 0.000139
1600, 0.000213, 0.012500, 0.000229
1300, 0.000172, 0.009558, 0.000186
1000, 0.000124, 0.017063, 0.000139
700, 0.000084, 0.011016, 0.000096
1300, 0.000174, 0.011671, 0.000185
700, 0.000084, 0.008900, 0.000097
2200, 0.000303, 0.014602, 0.000331
2200, 0.000306, 0.014959, 0.000328
2500, 0.000347, 0.016822, 0.000370
2200, 0.000311, 0.015108, 0.000325
2500, 0.000346, 0.016222, 0.000376
700, 0.000083, 0.010909, 0.000097
700, 0.000083, 0.010991, 0.000096
700, 0.000084, 0.010096, 0.000096
1900, 0.000262, 0.014004, 0.000274
2200, 0.000306, 0.014705, 0.000325
1900, 0.000262, 0.012205, 0.000280
1900, 0.000262, 0.017279, 0.000282
