Size, Seq, Par, Libc
1000000, 0.209655, 0.196012, 0.230198
1000000, 0.214157, 0.184621, 0.231369
1000000, 0.214703, 0.182198, 0.233557
1000000, 0.214711, 0.202884, 0.307529
1000000, 0.219398, 0.186798, 0.233785
1500000, 0.329870, 0.300615, 0.451430
1500000, 0.371167, 0.327052, 0.373125
1500000, 0.382055, 0.326388, 0.361214
1500000, 0.427132, 0.265643, 0.356150
1500000, 0.428777, 0.337332, 0.427107
2000000, 0.432859, 0.345887, 0.484844
2000000, 0.437889, 0.364848, 0.492572
2000000, 0.445300, 0.365940, 0.496506
2000000, 0.447910, 0.356574, 0.496929
2000000, 0.525580, 0.383319, 0.549804
2500000, 0.563192, 0.485357, 0.615917
2500000, 0.569414, 0.424175, 0.626337
2500000, 0.570892, 0.452531, 0.623431
2500000, 0.703381, 0.466816, 0.633535
2500000, 0.728046, 0.432960, 0.639383
3000000, 0.676538, 0.554720, 0.840419
3000000, 0.686387, 0.554674, 0.763530
3000000, 0.726893, 0.559234, 0.754826
3000000, 0.782721, 0.547650, 0.748038
3000000, 0.822368, 0.559257, 0.900656
3500000, 0.804158, 0.618139, 0.995395
3500000, 0.806232, 0.691360, 1.025119
3500000, 0.820192, 0.679665, 0.944517
3500000, 0.955416, 0.614732, 0.899159
3500000, 0.997543, 0.680202, 1.048339
