Size, Seq, Par, Libc
100, 0.000039, 0.009087, 0.000039
100, 0.000034, 0.010334, 0.000038
1900, 0.000894, 0.030200, 0.000320
2500, 0.000403, 0.022529, 0.000425
1300, 0.000191, 0.021559, 0.000209
400, 0.000051, 0.006363, 0.000063
1300, 0.000193, 0.018338, 0.000217
1000, 0.000148, 0.016580, 0.000159
1900, 0.000298, 0.012848, 0.000319
1600, 0.000241, 0.017786, 0.000265
1000, 0.000148, 0.015849, 0.000158
2500, 0.000406, 0.019260, 0.000425
100, 0.000010, 0.002501, 0.000013
2500, 0.000406, 0.021565, 0.000435
100, 0.000011, 0.003258, 0.000012
1600, 0.000242, 0.017088, 0.000229
400, 0.000045, 0.006066, 0.000057
1600, 0.000213, 0.019377, 0.000229
400, 0.000044, 0.006140, 0.000083
1600, 0.000210, 0.018609, 0.000231
1300, 0.000168, 0.015223, 0.000183
100, 0.000010, 0.002274, 0.000011
2200, 0.000305, 0.014233, 0.000322
400, 0.000045, 0.005582, 0.000056
1000, 0.000128, 0.013398, 0.000138
400, 0.000046, 0.009776, 0.000057
1000, 0.000138, 0.012662, 0.000139
1600, 0.000209, 0.012189, 0.000232
1300, 0.000171, 0.012697, 0.000186
1000, 0.000127, 0.015777, 0.000137
700, 0.000088, 0.009107, 0.000097
1300, 0.000172, 0.013491, 0.000182
700, 0.000088, 0.010051, 0.000115
2200, 0.000308, 0.018554, 0.000323
2200, 0.000332, 0.017056, 0.000322
2500, 0.000348, 0.018584, 0.000370
2200, 0.000307, 0.019790, 0.000358
2500, 0.000385, 0.021575, 0.000406
700, 0.000097, 0.011032, 0.000107
700, 0.000098, 0.009581, 0.000107
700, 0.000098, 0.010595, 0.000107
1900, 0.000298, 0.016121, 0.000394
2200, 0.000343, 0.019243, 0.000356
1900, 0.000298, 0.017252, 0.000306
1900, 0.000297, 0.021077, 0.000305
