Size, Seq, Par, Libc
1000000, 0.212758, 0.189627, 0.236255
1000000, 0.213759, 0.184205, 0.235027
1000000, 0.218907, 0.194603, 0.253077
1000000, 0.220487, 0.184264, 0.233765
1000000, 0.283765, 0.229004, 0.239039
2000000, 0.446756, 0.372127, 0.501864
2000000, 0.447972, 0.366863, 0.496375
2000000, 0.449541, 0.350051, 0.502272
2000000, 0.452958, 0.370582, 0.491504
2000000, 0.453769, 0.376501, 0.586292
3000000, 0.684626, 0.518809, 0.769531
3000000, 0.688951, 0.567811, 0.764048
3000000, 0.701130, 0.611545, 0.856417
3000000, 0.713441, 0.605621, 0.885045
3000000, 0.732988, 0.515736, 0.764161
4000000, 0.925780, 0.720642, 1.053533
4000000, 0.951437, 0.687228, 1.169019
4000000, 1.038256, 0.825452, 1.103392
4000000, 1.070494, 0.696990, 1.054012
4000000, 1.091557, 0.768722, 1.215132
5000000, 1.177926, 0.872053, 1.434106
5000000, 1.203610, 0.918353, 1.316793
5000000, 1.255291, 0.889916, 1.443145
5000000, 1.256830, 0.909713, 1.318983
5000000, 1.336437, 0.969051, 1.589353
6000000, 1.424641, 1.170042, 1.800393
6000000, 1.441179, 1.124070, 1.769901
6000000, 1.454873, 1.109950, 1.704018
6000000, 1.490179, 1.193676, 1.605623
6000000, 1.533960, 1.179068, 1.608567
7000000, 1.812635, 1.268454, 2.150774
7000000, 1.881179, 1.451527, 2.186719
7000000, 1.927031, 1.270848, 2.162013
7000000, 1.996999, 1.309288, 2.175732
7000000, 2.005349, 1.349768, 2.190375
8000000, 1.932050, 1.508482, 2.186791
8000000, 1.951550, 1.453351, 2.321148
8000000, 1.952925, 1.439594, 2.216154
8000000, 1.979690, 1.452554, 2.433670
8000000, 2.260907, 1.447238, 2.566792
9000000, 2.213024, 1.601726, 2.631450
9000000, 2.229185, 1.723991, 2.599660
9000000, 2.451046, 1.610716, 2.555378
9000000, 2.508088, 1.643034, 2.909674
9000000, 2.590452, 1.637175, 2.908737
10000000, 2.513259, 1.811870, 2.964649
10000000, 2.618483, 1.889222, 2.824200
10000000, 2.620159, 1.881195, 2.777152
10000000, 2.898601, 2.010513, 3.184068
10000000, 2.927655, 1.935162, 3.289124
