Size, Seq, Par, Libc
10000, 0.001443, 0.027518, 0.001751
10000, 0.001529, 0.024805, 0.001702
10000, 0.001618, 0.023668, 0.001712
10000, 0.001627, 0.025121, 0.001702
10000, 0.001636, 0.024671, 0.001699
20000, 0.003202, 0.024547, 0.003661
20000, 0.003224, 0.027815, 0.003694
20000, 0.003308, 0.026544, 0.003651
20000, 0.003394, 0.027909, 0.003666
20000, 0.003454, 0.026129, 0.003655
30000, 0.005025, 0.034629, 0.006036
30000, 0.005101, 0.038999, 0.005944
30000, 0.005116, 0.032906, 0.005743
30000, 0.005218, 0.027872, 0.005717
30000, 0.005299, 0.034533, 0.005814
40000, 0.006837, 0.038549, 0.007935
40000, 0.006852, 0.031157, 0.008038
40000, 0.006911, 0.031778, 0.008047
40000, 0.006976, 0.027962, 0.007877
40000, 0.007126, 0.024173, 0.007856
50000, 0.008498, 0.034985, 0.010136
50000, 0.008549, 0.037237, 0.010230
50000, 0.008837, 0.033633, 0.010048
50000, 0.009005, 0.030129, 0.010189
50000, 0.012988, 0.030926, 0.010873
60000, 0.010233, 0.029581, 0.012334
60000, 0.010473, 0.023908, 0.012073
60000, 0.011069, 0.029103, 0.012041
60000, 0.011162, 0.027996, 0.012075
60000, 0.011901, 0.031146, 0.012351
70000, 0.012384, 0.036639, 0.014175
70000, 0.012401, 0.032336, 0.014339
70000, 0.012824, 0.038105, 0.014333
70000, 0.013516, 0.034769, 0.014141
70000, 0.013701, 0.031645, 0.014473
80000, 0.014031, 0.030449, 0.016335
80000, 0.015158, 0.032739, 0.016361
80000, 0.015221, 0.035994, 0.016523
80000, 0.015507, 0.031735, 0.016312
80000, 0.015657, 0.038771, 0.016359
90000, 0.016087, 0.034726, 0.018480
90000, 0.016359, 0.034591, 0.018852
90000, 0.016542, 0.035987, 0.018392
90000, 0.016924, 0.033540, 0.018273
90000, 0.018861, 0.031931, 0.018612
100000, 0.018475, 0.039500, 0.020572
100000, 0.018510, 0.033929, 0.020556
100000, 0.018943, 0.038434, 0.020615
100000, 0.019853, 0.038063, 0.020673
100000, 0.020246, 0.034589, 0.020331
