Size, Seq, Par, Libc
600000, 0.137004, 0.124778, 0.132802
250000, 0.047872, 0.064786, 0.057464
350000, 0.068991, 0.071440, 0.078113
250000, 0.048082, 0.054347, 0.056490
350000, 0.068835, 0.070046, 0.078336
650000, 0.137123, 0.130694, 0.146037
300000, 0.060063, 0.070821, 0.065191
400000, 0.081191, 0.087594, 0.086835
400000, 0.080061, 0.083740, 0.087127
350000, 0.072673, 0.072955, 0.075543
300000, 0.058737, 0.067413, 0.064120
500000, 0.110583, 0.100081, 0.113872
300000, 0.058822, 0.071689, 0.069430
350000, 0.076981, 0.080372, 0.078418
250000, 0.048622, 0.056260, 0.055843
300000, 0.057487, 0.065315, 0.063906
600000, 0.125348, 0.123256, 0.133956
450000, 0.089970, 0.111481, 0.100257
400000, 0.078287, 0.096422, 0.086224
300000, 0.059222, 0.072937, 0.065275
200000, 0.051149, 0.047589, 0.046209
550000, 0.119249, 0.106169, 0.121549
350000, 0.073194, 0.073125, 0.078845
200000, 0.039833, 0.055967, 0.045559
150000, 0.027758, 0.043767, 0.032219
200000, 0.041898, 0.051302, 0.044790
650000, 0.135089, 0.119483, 0.146422
200000, 0.039701, 0.044068, 0.046149
550000, 0.116130, 0.108944, 0.124462
400000, 0.078624, 0.087874, 0.086573
150000, 0.028296, 0.042732, 0.032290
250000, 0.051860, 0.054633, 0.056126
250000, 0.051175, 0.056002, 0.053912
550000, 0.116586, 0.107356, 0.125488
500000, 0.101929, 0.107021, 0.110875
150000, 0.027925, 0.040283, 0.031816
450000, 0.098247, 0.090831, 0.101359
550000, 0.115149, 0.105215, 0.121602
600000, 0.127297, 0.116476, 0.133480
200000, 0.037863, 0.046367, 0.047469
550000, 0.118591, 0.107982, 0.123166
400000, 0.078192, 0.084903, 0.086440
150000, 0.027647, 0.038575, 0.030882
500000, 0.108224, 0.098497, 0.110417
150000, 0.027693, 0.041784, 0.032033
500000, 0.104825, 0.095245, 0.111699
500000, 0.103501, 0.110816, 0.110014
600000, 0.126018, 0.118667, 0.136919
600000, 0.125433, 0.122619, 0.139254
650000, 0.139635, 0.115511, 0.150012
650000, 0.143069, 0.133220, 0.192893
450000, 0.120757, 0.100489, 0.100975
450000, 0.090124, 0.097394, 0.101686
450000, 0.090678, 0.104349, 0.098450
650000, 0.138687, 0.128309, 0.147728
