Size, Seq, Par, Libc
250000, 0.055690, 0.063735, 0.059654
250000, 0.047604, 0.058595, 0.056889
550000, 0.114738, 0.102380, 0.124184
650000, 0.138394, 0.129602, 0.146239
450000, 0.090669, 0.093848, 0.097721
300000, 0.058133, 0.066732, 0.066663
450000, 0.089706, 0.093829, 0.101462
400000, 0.080957, 0.093188, 0.086252
550000, 0.114336, 0.109156, 0.122567
500000, 0.104003, 0.104029, 0.110803
400000, 0.080363, 0.092063, 0.088348
650000, 0.140286, 0.126020, 0.146940
250000, 0.048838, 0.054842, 0.053418
650000, 0.140812, 0.130334, 0.153410
250000, 0.047145, 0.052522, 0.053774
500000, 0.103996, 0.099809, 0.115363
300000, 0.058615, 0.064198, 0.065210
500000, 0.101344, 0.104096, 0.113298
300000, 0.059778, 0.064811, 0.068362
500000, 0.101293, 0.100185, 0.115389
450000, 0.089774, 0.102403, 0.099932
250000, 0.048222, 0.062750, 0.054923
600000, 0.127576, 0.108232, 0.136061
300000, 0.057702, 0.063005, 0.066262
400000, 0.080123, 0.084236, 0.086634
300000, 0.058534, 0.061623, 0.066120
400000, 0.080851, 0.085444, 0.087313
500000, 0.102187, 0.100983, 0.111972
450000, 0.088999, 0.094624, 0.102199
400000, 0.083337, 0.088134, 0.091255
350000, 0.068977, 0.068173, 0.079325
450000, 0.089538, 0.095489, 0.097840
350000, 0.069017, 0.072797, 0.075922
600000, 0.127822, 0.115927, 0.134769
600000, 0.126674, 0.120156, 0.133884
650000, 0.145515, 0.124043, 0.148686
600000, 0.124934, 0.115445, 0.141350
650000, 0.139750, 0.126156, 0.145565
350000, 0.069448, 0.082448, 0.077064
350000, 0.069252, 0.082847, 0.074931
350000, 0.069321, 0.070731, 0.077984
550000, 0.113388, 0.107560, 0.122735
600000, 0.127344, 0.120452, 0.134659
550000, 0.118526, 0.114734, 0.121595
550000, 0.112629, 0.110765, 0.121942
