Size, Seq, Par, Libc
400000, 0.086880, 0.078164, 0.086306
400000, 0.080418, 0.084017, 0.088986
700000, 0.145345, 0.140283, 0.160618
600000, 0.122166, 0.114713, 0.132620
800000, 0.169041, 0.146638, 0.187704
500000, 0.100720, 0.098469, 0.109884
800000, 0.164531, 0.153028, 0.182243
400000, 0.078478, 0.082574, 0.090265
400000, 0.078236, 0.079920, 0.089880
900000, 0.187384, 0.169052, 0.213648
700000, 0.147325, 0.132660, 0.158342
600000, 0.130245, 0.122903, 0.135224
700000, 0.146828, 0.130421, 0.156779
900000, 0.197068, 0.163262, 0.205295
700000, 0.148190, 0.127241, 0.159355
600000, 0.122618, 0.113023, 0.134321
800000, 0.167961, 0.152426, 0.182027
600000, 0.122049, 0.112835, 0.139276
800000, 0.167107, 0.149545, 0.181956
600000, 0.128579, 0.117586, 0.132747
500000, 0.100880, 0.102414, 0.109179
400000, 0.079516, 0.083809, 0.086178
900000, 0.186488, 0.166684, 0.211432
500000, 0.100954, 0.095310, 0.109970
800000, 0.172830, 0.149922, 0.181987
500000, 0.098559, 0.100683, 0.108988
700000, 0.144676, 0.132307, 0.158771
500000, 0.099454, 0.096117, 0.113837
900000, 0.187790, 0.169292, 0.211674
900000, 0.187095, 0.168179, 0.274573
