Size, Seq, Par, Libc
400000, 0.080940, 0.078072, 0.087183
400000, 0.081031, 0.076896, 0.091100
400000, 0.081988, 0.085056, 0.087750
400000, 0.097844, 0.098389, 0.114678
400000, 0.099122, 0.076590, 0.087010
500000, 0.100922, 0.097251, 0.111225
500000, 0.101420, 0.101827, 0.110752
500000, 0.101638, 0.093526, 0.112889
500000, 0.102025, 0.093121, 0.145764
500000, 0.106313, 0.103628, 0.113328
600000, 0.123088, 0.115091, 0.133787
600000, 0.123678, 0.117277, 0.139622
600000, 0.124800, 0.112011, 0.137257
600000, 0.125322, 0.114346, 0.134827
600000, 0.126608, 0.107033, 0.142322
700000, 0.146128, 0.133622, 0.161710
700000, 0.147435, 0.135137, 0.161339
700000, 0.149544, 0.136637, 0.157888
700000, 0.150078, 0.122124, 0.162800
700000, 0.194398, 0.161851, 0.160342
800000, 0.166799, 0.151729, 0.188006
800000, 0.169226, 0.158032, 0.190101
800000, 0.169578, 0.147049, 0.189674
800000, 0.172947, 0.149961, 0.184412
800000, 0.174045, 0.155672, 0.185868
900000, 0.188069, 0.170658, 0.214722
900000, 0.193783, 0.166350, 0.209672
900000, 0.193805, 0.179165, 0.211395
900000, 0.196925, 0.168753, 0.209545
900000, 0.242544, 0.159459, 0.208155
1000000, 0.215119, 0.192545, 0.234868
1000000, 0.216043, 0.189742, 0.307828
1000000, 0.216637, 0.176111, 0.254362
1000000, 0.219157, 0.171727, 0.241588
1000000, 0.280704, 0.213659, 0.307794
1500000, 0.323457, 0.285302, 0.360749
1500000, 0.330205, 0.266494, 0.406284
1500000, 0.335572, 0.262715, 0.476252
1500000, 0.338150, 0.274149, 0.414354
1500000, 0.339184, 0.259390, 0.361898
2000000, 0.446423, 0.366298, 0.491594
2000000, 0.464955, 0.359764, 0.631460
2000000, 0.476974, 0.363056, 0.505372
2000000, 0.498312, 0.466368, 0.576887
2000000, 0.510407, 0.353049, 0.495738
2500000, 0.569161, 0.447780, 0.634483
2500000, 0.581923, 0.431932, 0.634311
2500000, 0.598494, 0.456265, 0.647834
2500000, 0.647516, 0.451794, 0.627844
2500000, 0.678904, 0.489311, 0.645886
3000000, 0.699353, 0.592376, 0.873045
3000000, 0.719344, 0.558323, 0.961817
3000000, 0.775411, 0.619145, 0.872278
3000000, 0.785605, 0.554231, 0.789255
3000000, 0.806531, 0.544227, 0.772701
3500000, 0.802442, 0.615017, 1.042216
3500000, 0.817929, 0.623468, 0.909519
3500000, 0.843060, 0.640507, 0.916775
3500000, 0.913105, 0.649056, 1.033248
3500000, 0.940444, 0.599659, 1.145907
